epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5649,1.35898,3.58342,1.44285,0.00262,0.66442,0.26572,0.18435,1.08979,3.72681,1.34865,7.777e-05,7.777e-05,7.777e-05
2,72.9901,1.12329,3.07634,1.28393,0.00327,0.80831,0.33043,0.25091,1.04844,3.61013,1.2418,0.00016445,0.00016445,0.00016445
3,107.835,1.12715,2.36664,1.25204,0.00346,0.83688,0.46657,0.36828,1.0288,3.45606,1.18263,0.000248784,0.000248784,0.000248784
4,143.437,1.11872,1.91661,1.22209,1,0.13716,0.56877,0.46358,1.09216,3.19078,1.2,0.000330771,0.000330771,0.000330771
5,177.284,1.05149,1.60328,1.21793,0.91427,0.37157,0.70028,0.53501,1.10866,3.01447,1.23885,0.000410412,0.000410412,0.000410412
6,211.44,1.12189,1.40042,1.23438,0.81057,0.48132,0.79159,0.47725,1.28673,2.59876,1.44207,0.000487707,0.000487707,0.000487707
7,243.935,1.05742,1.27727,1.17235,0.85006,0.39567,0.769,0.40467,1.37966,2.37843,1.51615,0.000562655,0.000562655,0.000562655
8,278.554,1.08463,1.2614,1.22188,0.78261,0.63,0.83577,0.47324,1.29378,2.20811,1.36016,0.000635256,0.000635256,0.000635256
9,312.427,1.00602,1.23234,1.14981,0.52296,0.6364,0.83046,0.47309,1.33022,2.31281,1.45668,0.000705512,0.000705512,0.000705512
10,345.935,1.01542,1.20425,1.14983,0.79854,0.50816,0.73475,0.47461,1.29202,2.55112,1.4376,0.00077342,0.00077342,0.00077342
11,380.013,1.03406,1.0975,1.17123,0.69695,0.73711,0.85181,0.55776,1.32163,2.19866,1.4285,0.000838983,0.000838983,0.000838983
12,414.873,1.02747,1.10034,1.1518,0.65014,0.81886,0.88715,0.6004,1.23866,1.99099,1.2912,0.000902199,0.000902199,0.000902199
13,446.212,1.08414,1.16596,1.20581,0.65161,0.79633,0.89301,0.6326,1.20099,1.88529,1.37755,0.000935018,0.000935018,0.000935018
14,477.857,1.05953,1.19257,1.22486,0.83652,0.68439,0.85414,0.59941,1.30963,1.97108,1.43017,0.000920352,0.000920352,0.000920352
15,502.467,1.04229,1.09029,1.16483,0.81722,0.66669,0.90791,0.6413,1.26112,1.90888,1.40214,0.000905687,0.000905687,0.000905687
16,527.537,1.04563,1.0905,1.17219,0.64007,0.85538,0.91795,0.65547,1.23103,1.83456,1.35781,0.000891022,0.000891022,0.000891022
17,552.496,0.98434,1.14086,1.18347,0.87849,0.7866,0.9334,0.65744,1.18761,1.72489,1.35926,0.000876357,0.000876357,0.000876357
18,577.124,0.99507,0.99365,1.14648,0.81882,0.82418,0.92632,0.67438,1.15506,1.59335,1.26863,0.000861692,0.000861692,0.000861692
19,602.267,0.99968,0.98749,1.13595,0.88542,0.80557,0.90718,0.59813,1.21074,1.59057,1.28764,0.000847026,0.000847026,0.000847026
20,628.702,0.98357,0.99301,1.1569,0.90932,0.79733,0.90739,0.62779,1.15043,1.49965,1.23754,0.000832361,0.000832361,0.000832361
21,657.769,0.94303,0.98687,1.11256,0.75152,0.87612,0.94522,0.65124,1.08115,1.5127,1.20991,0.000817696,0.000817696,0.000817696
22,686.438,1.00731,1.00845,1.13903,0.83422,0.88938,0.93809,0.66851,1.0626,1.41552,1.18107,0.000803031,0.000803031,0.000803031
23,715.735,0.89,0.9705,1.11106,0.88672,0.91608,0.91623,0.64269,1.17034,1.52063,1.24519,0.000788366,0.000788366,0.000788366
24,745.113,0.99507,0.96636,1.12075,0.84434,0.88136,0.91943,0.66225,1.12303,1.63647,1.24666,0.0007737,0.0007737,0.0007737
25,774.723,0.90393,0.93694,1.09667,0.83778,0.95497,0.95969,0.67226,1.13619,1.42012,1.29763,0.000759035,0.000759035,0.000759035
26,804.58,0.89756,0.91809,1.10072,0.93255,0.97539,0.97725,0.65743,1.17459,1.25094,1.30101,0.00074437,0.00074437,0.00074437
27,834.78,0.96561,0.92495,1.15668,0.91341,0.95802,0.97048,0.68231,1.17129,1.14664,1.34588,0.000729705,0.000729705,0.000729705
28,866.039,0.88055,0.89678,1.08884,0.88038,0.91553,0.98478,0.70139,1.1707,1.22575,1.35301,0.00071504,0.00071504,0.00071504
29,895.564,0.88701,0.86183,1.09853,0.89793,0.95539,0.9845,0.7002,1.15239,1.22981,1.34076,0.000700374,0.000700374,0.000700374
30,924.774,0.91154,0.87918,1.1004,0.92857,0.94755,0.981,0.70288,1.1624,1.19353,1.31759,0.000685709,0.000685709,0.000685709
31,953.625,0.85361,0.84863,1.07797,0.93196,0.94661,0.96183,0.71881,1.13127,1.16296,1.26773,0.000671044,0.000671044,0.000671044
